wavenumber_cm-1,m5_px11_raw_despiked,m5_px11_processed,CaF2_mean_processed_norm
579.0,181.88686008230476,28.078448742565463,0.12443781582833828
580.0,179.62284567901239,27.45321373483099,0.12009988984695794
581.0,180.6440578512398,26.654237619192745,0.11749525011848531
582.0,181.42706172839507,23.789409980781716,0.1233110766973643
583.0,172.4818189300414,22.60904770419624,0.1375811310900859
584.0,173.7286673553717,21.24444416477698,0.1414944608435557
585.0,173.24503086419733,20.723940873431456,0.13770171015044483
586.0,168.21431481481406,18.86521486818431,0.13506925815931597
587.0,178.1700537190082,16.620920205747815,0.12793856684461824
588.0,167.85091358024704,14.527890414108278,0.12028656596709734
589.0,168.70995679012347,12.903998401111998,0.11757048831869228
590.0,158.4144353182753,11.543335571710784,0.10860217399473038
591.0,160.06859548254664,10.706755023144844,0.11019113621378522
592.0,163.17462962962946,9.516176310154666,0.1171142098694999
593.0,170.4393917525768,11.230158259791619,0.1189415139666469
594.0,164.67264887063635,13.466025395489002,0.12182511300934051
595.0,166.81555852156103,15.39038192393417,0.12316458670400139
596.0,168.57479012345684,16.890650635932502,0.12148044990473401
597.0,172.5499195876289,17.142765669566735,0.12395014648652433
598.0,172.75927868852426,17.831011527901527,0.12453347862501811
599.0,167.1447999999998,18.79970253609941,0.12879989503246486
600.0,175.57069609856327,18.89993846082831,0.12357897586021291
601.0,169.42143711340194,20.539857414716977,0.12037713260410181
602.0,175.11696288659826,20.769961143781725,0.11412851656772598
603.0,171.4600287474331,21.916703625901505,0.10591114386374474
604.0,177.0275340206188,22.886670060313,0.10347604209493884
605.0,181.12016255144033,22.90236065782057,0.09624851221989882
606.0,169.38322474226794,23.303076577795416,0.09233569305151723
607.0,176.45383539094675,21.420032706584685,0.09405780153195467
608.0,172.70357731958734,19.76529654278545,0.09030628350737877
609.0,172.76501649484473,18.36910292300058,0.09617957796265694
610.0,167.78241683778242,18.56873396176156,0.09536964554300857
611.0,165.96365979381446,18.543361819700245,0.09715025131242735
612.0,171.86803092783498,17.711904261216347,0.10016825697351037
613.0,176.72416837782345,19.295993063714093,0.09984663413047705
614.0,173.2532148760335,20.22755563221946,0.0991395552376207
615.0,165.77571074380143,22.34675964147038,0.10121511742896541
616.0,176.47569421487609,21.806445568765938,0.10204883095968556
617.0,177.97656611570244,19.739645057008353,0.10011192861296218
618.0,170.6021528925616,20.4460189378494,0.0909847027302845
619.0,173.5975082644628,20.850610666075763,0.08556837301733396
620.0,162.89768181818303,20.39120390176752,0.08176525944398434
621.0,171.7807954545458,18.296930111356563,0.07832365337819337
