spectrum,map,pixel_0based,spectrum_no_1based,X_um,Y_um,1456_pos,1456_SNR,1726_pos,1726_SNR,both_min_SNR
m4_px12,m4,12,13,11.172,-0.157,1445.1,0.0,1725.6,2.6,0.0
m2_px04,m2,4,5,3.829,-0.0,1468.0,0.0,1731.0,2.0,0.0
m2_px08,m2,8,9,7.579,-0.0,1444.7,0.0,1715.7,0.0,0.0
m2_px10,m2,10,11,7.579,9.281,1454.2,3.0,1736.8,0.0,0.0
m5_px02,m5,2,3,-0.079,9.124,1446.0,0.0,1714.0,0.0,0.0
m2_px16,m2,16,17,15.078,-0.0,1464.1,0.0,1718.2,0.7,0.0
m2_px17,m2,17,18,15.078,4.64,1444.2,0.0,1723.6,2.2,0.0
m5_px17,m5,17,18,14.922,4.483,1467.5,0.0,1716.5,0.0,0.0
m5_px00,m5,0,1,-0.079,-0.157,1444.7,0.0,1720.7,2.7,0.0
m4_px03,m4,3,4,-0.079,13.764,1466.7,0.0,1733.9,5.0,0.0
m5_px19,m5,19,20,14.922,13.764,1467.5,0.0,1729.4,1.9,0.0
m5_px15,m5,15,16,11.172,13.764,1446.4,0.0,1734.7,0.0,0.0
m4_px00,m4,0,1,-0.079,-0.157,1468.0,0.0,1735.6,0.0,0.0
m4_px01,m4,1,2,-0.079,4.483,1444.2,0.0,1722.3,1.9,0.0
m4_px02,m4,2,3,-0.079,9.124,1468.0,0.0,1714.0,0.0,0.0
m5_px12,m5,12,13,11.172,-0.157,1461.9,6.6,1737.3,0.0,0.0
m5_px14,m5,14,15,11.172,9.124,1444.2,0.0,1716.9,0.0,0.0
m4_px04,m4,4,5,3.671,-0.157,1462.8,-0.0,1726.5,1.3,-0.0
m4_px11,m4,11,12,7.421,13.764,1468.0,0.0,1720.2,1.8,0.0
m4_px13,m4,13,14,11.172,4.483,1444.7,0.0,1734.3,0.0,0.0
m4_px14,m4,14,15,11.172,9.124,1444.2,0.0,1737.7,0.0,0.0
m4_px10,m4,10,11,7.421,9.124,1467.5,0.0,1736.9,0.0,0.0
m4_px08,m4,8,9,7.421,-0.157,1444.2,0.0,1727.7,1.7,0.0
m2_px18,m2,18,19,15.078,9.281,1444.7,0.0,1721.5,1.5,0.0
m2_px19,m2,19,20,15.078,13.922,1466.7,0.0,1734.7,0.0,0.0
m3_px19,m3,19,20,14.922,13.764,1466.7,0.0,1737.3,0.0,0.0
m3_px16,m3,16,17,14.922,-0.157,1468.0,0.0,1734.7,0.0,0.0
m3_px13,m3,13,14,11.172,4.483,1466.2,0.0,1735.6,0.0,0.0
m3_px00,m3,0,1,-0.079,-0.157,1446.0,0.0,1716.9,0.0,0.0
m3_px02,m3,2,3,-0.079,9.124,1468.0,0.0,1737.7,0.0,0.0
m3_px05,m3,5,6,3.671,4.483,1466.7,0.0,1737.7,0.0,0.0
m4_px15,m4,15,16,11.172,13.764,1459.8,4.1,1736.9,0.0,0.0
m4_px16,m4,16,17,14.922,-0.157,1468.0,0.0,1723.2,3.7,0.0
m3_px03,m3,3,4,-0.079,13.764,1468.0,0.0,1721.1,2.3,0.0
m4_px18,m4,18,19,14.922,9.124,1467.5,0.0,1732.7,1.6,0.0
m4_px19,m4,19,20,14.922,13.764,1468.0,0.0,1720.2,1.2,0.0
m3_px12,m3,12,13,11.172,-0.157,1456.8,-0.1,1718.6,0.7,-0.1
m3_px14,m3,14,15,11.172,9.124,1457.2,-0.2,1729.0,2.6,-0.2
m1_px13,m1,13,14,11.25,4.719,1458.9,-0.2,1716.1,0.0,-0.2
m1_px05,m1,5,6,3.75,4.719,1452.0,-0.2,1715.3,0.0,-0.2
m5_px05,m5,5,6,3.671,4.483,1453.8,-0.4,1728.5,2.2,-0.4
m5_px10,m5,10,11,7.421,9.124,1451.2,-0.4,1717.3,0.0,-0.4
m2_px03,m2,3,4,0.079,13.922,1451.6,-0.5,1726.9,1.7,-0.5
m4_px09,m4,9,10,7.421,4.483,1455.0,-0.5,1714.9,0.0,-0.5
m3_px10,m3,10,11,7.421,9.124,1454.6,-0.6,1718.6,2.8,-0.6
m2_px11,m2,11,12,7.579,13.922,1454.6,-0.6,1735.6,0.0,-0.6
m2_px07,m2,7,8,3.829,13.922,1449.0,-0.7,1736.4,0.0,-0.7
m5_px03,m5,3,4,-0.079,13.764,1455.0,-1.0,1729.8,2.4,-1.0
m5_px04,m5,4,5,3.671,-0.157,1460.2,-1.1,1716.5,0.0,-1.1
m3_px01,m3,1,2,-0.079,4.483,1448.1,-1.5,1729.4,2.0,-1.5
m5_px01,m5,1,2,-0.079,4.483,1453.3,-1.6,1719.4,2.7,-1.6
m1_px18,m1,18,19,15.0,9.36,1448.6,-1.6,1714.4,0.0,-1.6
m1_px19,m1,19,20,15.0,14.0,1451.6,-1.9,1714.0,0.0,-1.9
m5_px13,m5,13,14,11.172,4.483,1444.2,0.0,1727.7,-2.8,-2.8
m4_px17,m4,17,18,14.922,4.483,1463.2,-4.3,1716.1,0.0,-4.3
m2_px02,m2,2,3,0.079,9.281,1462.4,-4.4,1737.3,0.0,-4.4
m5_px06,m5,6,7,3.671,9.124,1452.0,-17.4,1716.5,0.0,-17.4
