wavenumber_cm-1,raw_avg,denoised,normalized,snv
1.932033447265625000e+03,2.046243873878761690e+02,2.029202457886443653e+02,1.067484812934084946e-02,-1.913113845550130643e-01
1.933515869140625000e+03,2.027700528745297959e+02,2.031455027160990596e+02,1.072845911229021107e-02,-1.890729730807330922e-01
1.934996337890625000e+03,2.032801982738353672e+02,2.033922428983513839e+02,1.078718309407013763e-02,-1.866210793194164053e-01
1.936478271484375000e+03,2.050948525887948506e+02,2.036617644488223675e+02,1.085132902471944855e-02,-1.839428037255999848e-01
1.937960083007812500e+03,2.047542182074652715e+02,2.039553746970265422e+02,1.092120804770043037e-02,-1.810251551721338559e-01
1.939439697265625000e+03,2.065499425817419024e+02,2.042744303687391891e+02,1.099714306274907592e-02,-1.778546516739036576e-01
1.940920898437500000e+03,2.066336076524522696e+02,2.046203328302304101e+02,1.107946759400629116e-02,-1.744173676465817224e-01
1.942401855468750000e+03,2.041277872721354072e+02,2.049945228054271240e+02,1.116852453270633649e-02,-1.706989864029712367e-01
1.943880737304687500e+03,2.054301497847945654e+02,2.053985048618452254e+02,1.126467196481066059e-02,-1.666845568326692506e-01
1.945361083984375000e+03,2.050708307336877851e+02,2.058338219104072380e+02,1.136827710198327207e-02,-1.623587468011580826e-01
1.946841308593750000e+03,2.054824133978949590e+02,2.063020468005585712e+02,1.147971428123459141e-02,-1.577059266703808305e-01
1.948319458007812500e+03,2.069991155553747149e+02,2.068044965884461988e+02,1.159929696095826808e-02,-1.527130086581993118e-01
1.949799072265625000e+03,2.061951712149160869e+02,2.073419938847833635e+02,1.172722092189862862e-02,-1.473718183600338516e-01
1.951278442382812500e+03,2.080104810926649179e+02,2.079150465395959770e+02,1.186360703198807189e-02,-1.416773091949066199e-01
1.952755737304687500e+03,2.052471211751302178e+02,2.085237087323425271e+02,1.200846818589784183e-02,-1.356289427735085373e-01
1.954234619140625000e+03,2.088881310356987910e+02,2.091677661589982051e+02,1.216175337942776088e-02,-1.292288486666967884e-01
1.955713134765625000e+03,2.112100677490234375e+02,2.098470351445885171e+02,1.232341889806907835e-02,-1.224788520799161423e-01
1.957189819335937500e+03,2.102868714509186816e+02,2.105607997375369393e+02,1.249329434587350719e-02,-1.153860675300964339e-01
1.958667846679687500e+03,2.131828822383174327e+02,2.113077319991863874e+02,1.267106367441800212e-02,-1.079636909404916856e-01
