wavenumber_cm-1,m2_px16_processed,meanCaF2_processed_norm
650.0,19.00709596827569,0.011651490226279908
651.0,20.390874733980915,0.012617913765634686
652.0,20.62841853561946,0.013524287700352156
653.0,21.366880500225054,0.014072252200197371
654.0,22.500828756335096,0.013055194966342549
655.0,23.31928390113829,0.013516396080649726
656.0,24.987799888468743,0.014657154604936235
657.0,24.53674144611498,0.0148727805663585
658.0,24.43400538887609,0.01317548222986439
659.0,25.942970528345768,0.013198097627875452
660.0,26.167594544687265,0.01292505583694131
661.0,28.19390576425915,0.012438711949109995
662.0,29.227792665954652,0.01177020624759548
663.0,30.12282510410543,0.01042124254240494
664.0,29.612708649104025,0.00846947648037515
665.0,29.139322326056437,0.008988871171855367
666.0,29.769456370110312,0.00901124228221806
667.0,27.738416536116468,0.00908142687540259
668.0,26.51412383397907,0.009362982776500916
669.0,25.202724123331528,0.009712623829339607
670.0,23.88269576839474,0.01008656616674936
671.0,24.53648519269501,0.010756310937689053
672.0,24.420323911806353,0.011842655408657686
673.0,23.055612958287107,0.012265533749690983
674.0,22.649035830280667,0.012773455855523818
675.0,22.996253835752977,0.01341562195484997
676.0,24.1562773791444,0.013715403684850705
677.0,23.239150625015945,0.014096629402805344
678.0,24.034059921401983,0.014517034994988057
679.0,23.273336751637014,0.013383588783576959
680.0,24.58488661159992,0.013911861494011185
681.0,23.61041186097569,0.013018252008425596
682.0,21.039070357897696,0.012916560432740884
683.0,19.25394840185591,0.010943862783592545
684.0,19.05888112819961,0.009107107359841908
685.0,20.32855621322058,0.007542544289648026
686.0,21.428931675077603,0.006558254327100011
687.0,20.719939118065334,0.005914755636855329
688.0,20.945173655146327,0.0052530022728938894
689.0,21.231287422998975,0.005656984406246042
690.0,23.19824788927974,0.0069852319659496525
691.0,22.461592827777054,0.006343351976764368
692.0,21.348086374653505,0.007585263730648091
693.0,21.979207724635994,0.006659729222901227
694.0,22.46062836105168,0.007464609699680968
695.0,23.64761643434147,0.008163964285867766
696.0,22.824829162398046,0.008015142857180323
697.0,20.944494307734303,0.008524930018667819
698.0,19.514048872380897,0.008275437307267822
699.0,20.514074657140718,0.008151196990893008
700.0,21.37407428956533,0.008398855384168678
701.0,20.868700595747256,0.007119337113084064
702.0,21.5394736920232,0.0068381058516735855
703.0,21.450384325271102,0.004732478175656183
704.0,19.6673031892636,0.005509723154963238
705.0,19.912495221959027,0.006109430208129401
706.0,20.161910207218718,0.006423558509633044
707.0,19.866828454998462,0.007346065596590889
708.0,19.484372451443285,0.007975868971515148
709.0,20.866326003334123,0.008478288754827465
710.0,21.606566223586505,0.00982269571985573
711.0,22.952958669716864,0.009765703319670286
712.0,24.221652836676828,0.009174223714971555
713.0,21.92147215794994,0.007766783694853516
714.0,21.738537873081754,0.007641801374327767
715.0,21.937161893356883,0.007151899427596027
716.0,22.688183723495968,0.006599440685901301
717.0,21.717920225642793,0.006609802979324231
718.0,20.073216487282377,0.006133122377749694
719.0,20.007274462040066,0.006219296517754173
720.0,20.528158450264634,0.007059051665028614
721.0,19.735912620104518,0.007900038739749534
722.0,18.9835689779894,0.007586868323351817
723.0,17.81011243174475,0.0071029109258395895
724.0,16.97759471379307,0.006256817258220572
725.0,17.836941429891635,0.005352120178700512
726.0,19.272412133372057,0.004225134342280543
727.0,20.75296738432793,0.0036134252682594506
728.0,23.057770404945032,0.00258198634664276
729.0,24.761682136628707,0.0028071938999421554
730.0,25.54939044265894,0.002738967792219514
731.0,24.165381238113312,0.0029323260650407136
732.0,23.94673418386547,0.0025491140647576857
733.0,23.648555792006185,0.002625019422994413
734.0,21.51734736643447,0.002256931904255989
735.0,23.633735901481774,0.0025588711696939233
736.0,23.984197943658586,0.0018881741596058846
737.0,26.909489556498308,0.003123746028741534
738.0,29.55093333828114,0.004353390017825105
739.0,29.684306215186304,0.005858939009895212
740.0,29.85701684516292,0.006180207929613416
741.0,29.54635418148704,0.006002075023538779
742.0,30.304139132324295,0.005921182575391831
743.0,32.6265236600181,0.0063908105534530146
744.0,34.11355054637894,0.005966050246951207
745.0,33.71498961411355,0.005849092564085267
746.0,34.580632432170454,0.00455364402119721
747.0,35.204387033681144,0.004409940900532009
748.0,34.757873359978916,0.004346510935261643
749.0,33.44033407727555,0.00435095896356036
750.0,34.47125545238517,0.003822495929296444
751.0,34.930344839052765,0.0029975444407809105
752.0,37.64463222259476,0.002677760157969914
753.0,40.495427206967264,0.002515882793624769
754.0,42.35965715598666,0.0018120428016621093
755.0,41.145490088604234,0.001243400698620061
756.0,41.081032505384144,0.00046356946723457687
757.0,39.785658640588046,8.58951113732765e-05
758.0,40.330120219092336,0.0009263957712341992
759.0,40.789699459886,0.0011392906668406346
760.0,42.07057890211468,0.0022778800431785965
761.0,42.143283560318054,0.002677010569180742
762.0,44.19311383216873,0.0027340005147998914
763.0,46.522978887223786,0.0028895881388161103
764.0,49.79806540267421,0.0032132239403284734
765.0,52.67186733525626,0.0034411326919803796
766.0,55.412695521376556,0.0035421147107709376
767.0,57.23877388325634,0.003188807756857663
768.0,60.437386879705265,0.002023660600169752
769.0,60.677879763107455,0.0009691920741907945
770.0,58.72086604901241,-5.684855271334865e-05
771.0,53.528564269333756,-0.0009729278444804964
772.0,49.603851385238784,-0.0015616859482650354
773.0,46.461707476096095,-0.0011286437599197466
774.0,43.085460568047125,-0.0008243147857699999
775.0,39.99634754773154,0.0005517239009417709
776.0,37.14810855718665,0.0019197882389959315
777.0,33.945604233358814,0.0027398800441958433
778.0,33.779622462385476,0.002496054845030473
779.0,33.42225784145923,0.0030707841213718917
780.0,33.00500446211908,0.002410054074257551
781.0,32.837832739889244,0.0025653821949707493
782.0,32.98297890019124,0.0018358026554543285
783.0,32.598898750320686,0.0019508930488390704
784.0,31.695059503833207,0.001103171180744485
785.0,30.230149194875317,0.0015849380349292127
786.0,29.411669454001956,0.002694799338469489
787.0,27.69786033387818,0.003345022921537308
788.0,27.212023857048706,0.003828249842525627
789.0,29.007555709957316,0.004305086223439308
790.0,31.678572857138274,0.004475100192083473
791.0,36.23303246175557,0.004655393480418916
792.0,38.86672609506704,0.003692616338127784
793.0,41.4515562717757,0.003996374130774617
794.0,43.31303096948938,0.002952037372402494
795.0,43.0860651687445,0.002968726360722133
796.0,43.561357867944814,0.0033831212951719544
797.0,42.334500015692974,0.003847867911989719
798.0,40.539382315410776,0.0042123184722207664
799.0,41.173284461550686,0.004760827856828499
800.0,42.04615458259509,0.006307502543411117
801.0,43.59573672084828,0.007053469809921005
802.0,44.586837739839176,0.007440765804245396
803.0,45.655075927107596,0.008870202957700232
804.0,45.85899802022566,0.010120358418365068
805.0,45.00439351416489,0.012166352918898502
806.0,45.12863090915585,0.014083375739408557
807.0,45.608127956066966,0.01816155770090226
808.0,46.466963978656594,0.020794753689727052
809.0,48.9981807174939,0.024181231282107786
810.0,50.741905829453,0.028333022668136365
811.0,52.272066626084325,0.03148777035425189
812.0,52.99861209161073,0.03517701033750896
813.0,53.920594370455994,0.038082425233391295
814.0,52.282924592002466,0.041548021851945324
815.0,50.28356137679246,0.04404617615115241
816.0,47.87667223922121,0.04624166451972132
817.0,46.985109656106346,0.04968818014515296
818.0,45.70504272954304,0.05193529593167273
819.0,43.50899700075767,0.054454323469227385
820.0,42.517026453352415,0.05734924497192451
821.0,42.35294889090944,0.05907638500810504
822.0,41.40740754810976,0.06064119210421215
823.0,42.78574650056162,0.06168257009445079
824.0,45.1173610627492,0.061823342280034346
825.0,48.25248236619496,0.06208441897975855
826.0,51.39143880099765,0.06122262527685929
827.0,58.08565537400442,0.062063045990659274
828.0,63.10071639771691,0.06321396103565666
829.0,66.5466356195913,0.06440835714177201
830.0,70.01962837583598,0.06553973755292604
