wavenumber_cm-1,raw_despiked,processed
1262.0,252.16174999999922,38.22061449498838
1263.0,250.551,42.42506832614967
1264.0,249.8682666666675,43.47634959443883
1265.0,260.3682727272724,44.00142624125979
1266.0,257.394666666667,44.33291354506113
1267.0,260.986177777778,45.07817119745695
1268.0,248.12000000000052,43.838026749627886
1269.0,259.6878636363633,41.445703064815746
1270.0,250.67809090909049,38.62137532585629
1271.0,252.93927272727328,36.184035440549735
1272.0,240.6775909090897,33.81898259392446
1273.0,246.3152045454563,30.554727646570797
1274.0,246.01266666666672,26.878871231332823
1275.0,237.81054545454663,24.881344036410866
1276.0,237.8906,23.48788204050345
1277.0,230.06934090909192,22.79146656210392
1278.0,241.5173409090909,18.909217331671897
1279.0,233.9373636363644,15.917022779542577
1280.0,235.91754545454546,15.945607140260677
1281.0,225.9838181818167,13.781291894700814
1282.0,221.34943181818167,13.20845596710791
1283.0,231.42350000000104,10.84798060141523
1284.0,237.39918181818183,11.089694873073256
1285.0,223.18631818181842,13.864202837579342
1286.0,235.29781818181803,15.925099590220782
1287.0,229.91699999999824,16.890059040472323
1288.0,238.94645454545406,15.878149242390208
1289.0,243.75086363636393,15.801391530297906
1290.0,225.49206666666657,15.015913565516087
1291.0,232.95422727272745,13.737224773155305
1292.0,230.10431818181746,11.713793608626787
1293.0,230.4712272727269,9.37881209534413
1294.0,224.261272727273,6.815178107486531
1295.0,235.1725909090908,6.676767602330784
1296.0,218.90024999999997,4.696867446192101
1297.0,226.78197727272723,4.866606576282635
1298.0,218.1940624999992,2.625522579292266
1299.0,226.95802272727204,0.20627330117034148
1300.0,223.92966666666686,-3.167337711557394
1301.0,221.66545454545323,-4.4033098255548
1302.0,206.564,-4.686111686570314
1303.0,215.39939999999785,-2.467389368988364
1304.0,218.98804545454493,-3.5753811301274254
1305.0,224.4329772727281,-1.753833752046745
1306.0,235.09234090909152,-0.21865028808298348
1307.0,224.12872727272796,0.4132030811642835
1308.0,212.70654545454593,0.07776424691726902
1309.0,227.60668181818428,-0.6639111970494582
1310.0,218.8440909090904,-2.108880036709081
1311.0,220.85259090908988,-4.512211355837451
1312.0,231.4423333333308,-3.2081280583273895
1313.0,220.34922727272763,-2.7412032701655846
1314.0,219.2294318181811,-3.488965218492581
1315.0,219.1116363636362,-1.539681097645115
1316.0,231.99500000000012,1.042734726568483
1317.0,228.36097727272715,4.4706346675256725
1318.0,236.82975000000377,8.531595799464185
1319.0,241.3007272727279,11.992162980822457
1320.0,247.13356818181978,15.503055095030987
1321.0,244.0013636363648,17.671636202655264
1322.0,240.4078409090921,20.836853047902906
1323.0,253.18661363636363,21.463285276179732
1324.0,255.519477272728,21.69914093236042
