map,pixel,X_um,Y_um,file,consensus_r,EV_bands_detected,EV_band_SNR_mean,score,SNR Phe ring breathing,SNR Phe / C-H in-plane,SNR PO2- / C-C lipid,SNR C-N / C-C stretch,SNR Amide III,SNR CH2 twist (lipid),SNR CH2/CH3 deformation,SNR Amide I / C=C,SNR CH2 sym stretch (lipid),SNR CH2 asym stretch,SNR CH3 stretch (protein)
m3,19,14.9215,13.7644,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8602567139609459,10,46.46,0.71,121.4,87.1,12.3,60.0,136.7,10.3,-2.3,20.0,5.3,16.2,44.0
m1,11,7.5,14.0,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8586805548242578,10,41.28,0.6966666666666667,58.5,18.9,12.1,167.6,71.0,42.2,2.8,23.6,7.8,11.1,38.5
m2,7,3.82854,13.9215,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8630781768506169,11,24.38,0.6766666666666666,61.6,13.3,10.2,35.8,56.5,12.8,5.6,22.8,5.6,7.6,36.4
m4,18,14.9215,9.12389,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8215381608221637,11,36.51,0.6733333333333333,39.6,23.9,23.7,49.0,58.9,118.4,14.0,19.6,5.2,9.9,39.4
m2,2,0.0785405,9.28097,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8579715167490037,10,31.47,0.6566666666666666,104.8,11.3,20.6,37.0,54.0,28.3,15.8,23.0,4.4,10.2,36.7
m1,8,7.5,0.0785402,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8176233935594078,11,33.13,0.6533333333333333,44.5,24.1,11.5,23.5,103.9,32.0,26.8,32.7,7.7,11.7,46.1
m4,16,14.9215,-0.157081,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7893244047203701,11,46.63,0.6433333333333333,62.6,39.1,7.1,53.7,147.3,113.0,9.7,26.8,6.5,7.5,39.7
m1,16,15.0,0.0785402,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8305658305852549,11,29.57,0.6433333333333333,69.4,38.3,10.8,30.0,35.2,22.6,33.3,22.0,9.1,14.4,40.3
m1,0,0.0,0.0785402,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8124615999431811,11,31.11,0.6366666666666667,55.0,16.1,21.7,18.5,28.7,71.9,54.7,27.7,6.6,9.3,32.0
m2,6,3.82854,9.28097,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8440024053514564,11,26.17,0.6366666666666666,47.3,10.5,6.1,15.9,46.5,20.1,80.0,14.2,5.3,5.7,36.4
m2,17,15.0785,4.64049,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8374995973246675,11,26.37,0.6166666666666667,45.5,10.3,6.1,32.5,40.5,52.2,29.1,34.0,6.3,7.5,26.1
m4,6,3.67146,9.12389,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7824506989636493,11,39.63,0.6133333333333334,68.1,17.0,5.5,43.1,148.7,39.5,17.2,44.9,5.4,9.9,36.5
m4,15,11.1715,13.7644,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8272217241330007,11,29.03,0.6133333333333334,39.8,16.0,6.2,9.9,105.1,31.9,28.9,35.9,7.3,8.0,30.4
m3,4,3.67146,-0.157081,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.843136111878413,10,35.89,0.6133333333333333,57.9,3.6,20.1,52.9,103.0,13.1,31.2,22.3,16.4,22.1,52.3
m5,3,-0.0785405,13.7644,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8714376504414715,10,26.0,0.61,62.2,11.0,16.3,30.6,56.5,37.8,0.6,13.4,9.3,8.8,39.4
m2,5,3.82854,4.64049,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8556752922780483,11,22.31,0.6,53.7,8.3,6.8,20.6,33.3,29.3,14.9,26.7,7.8,6.4,37.8
m1,9,7.5,4.71903,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8095113002126358,11,29.7,0.6,90.3,22.3,21.5,47.5,17.7,25.5,19.2,18.0,10.4,12.3,42.1
m4,1,-0.0785405,4.48341,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7685075718371969,11,38.44,0.5966666666666667,31.6,21.9,15.2,27.9,165.7,15.7,51.1,48.5,7.0,9.7,28.6
m2,16,15.0785,-2.78043e-07,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.5170576281867361,11,51.2,0.5933333333333334,41.0,15.3,10.8,21.0,45.7,65.9,300.5,23.1,6.3,7.7,25.9
m2,19,15.0785,13.9215,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8685966078289908,11,19.55,0.59,42.2,8.5,9.3,28.3,39.3,6.4,7.1,20.6,7.9,10.1,35.4
m1,14,11.25,9.35951,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.83881136847855,11,25.02,0.59,35.7,12.6,7.4,34.2,44.5,35.0,13.7,46.6,7.3,8.7,29.6
m3,11,7.42146,13.7644,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.850652716537706,11,22.8,0.5833333333333334,36.5,17.0,7.8,21.1,46.2,10.1,23.6,31.0,8.5,14.5,34.7
m5,8,7.42146,-0.157081,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.768915858108385,11,33.65,0.5833333333333334,45.6,20.8,12.4,15.9,142.5,25.9,20.1,30.4,6.5,9.5,40.4
m5,17,14.9215,4.48341,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8716631247374983,10,24.12,0.5833333333333333,40.7,32.1,6.0,30.2,42.6,11.8,3.7,50.1,7.1,7.1,34.1
m4,11,7.42146,13.7644,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8586221201532174,10,26.75,0.5800000000000001,45.5,20.0,20.1,37.1,57.2,32.4,0.1,24.0,9.2,12.1,36.7
m3,15,11.1715,13.7644,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8681157179699809,10,25.86,0.58,50.4,16.5,10.8,16.0,71.4,18.8,3.3,35.0,9.3,13.0,39.9
m3,1,-0.0785405,4.48341,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7994863684767932,11,29.37,0.58,72.1,7.9,13.8,25.3,76.3,17.3,11.1,30.0,8.2,11.9,49.2
m5,4,3.67146,-0.157081,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8415127609159808,11,23.22,0.5633333333333334,41.0,34.0,9.6,17.0,52.4,26.0,8.8,21.1,6.0,7.4,32.2
m3,14,11.1715,9.12389,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8749767908313616,10,22.82,0.56,49.5,6.2,10.2,13.4,46.9,27.6,4.3,34.7,10.3,14.5,33.5
m2,15,11.3285,13.9215,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8520055099728254,11,20.86,0.5599999999999999,38.8,11.4,17.7,21.1,43.1,6.1,6.8,34.3,6.0,7.9,36.3
m5,11,7.42146,13.7644,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8490311399896204,11,21.35,0.5533333333333333,31.3,14.3,5.6,23.6,32.0,9.6,36.5,41.2,5.0,5.4,30.3
m5,15,11.1715,13.7644,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8632791583126103,11,15.91,0.5533333333333333,35.9,7.3,5.9,15.9,26.3,16.0,6.2,9.3,8.6,11.1,32.6
m4,10,7.42146,9.12389,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8794611370901885,9,26.05,0.545,52.9,16.0,6.8,35.4,53.8,19.1,4.3,36.3,3.2,12.3,46.4
m4,2,-0.0785405,9.12389,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8057385384104135,10,48.08,0.5433333333333333,63.6,18.5,21.6,88.5,79.1,105.1,72.3,17.9,13.7,2.9,45.6
m4,8,7.42146,-0.157081,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8105165815390428,10,42.44,0.54,41.7,21.6,83.9,41.8,51.3,41.9,104.5,42.0,3.8,5.2,29.0
m3,17,14.9215,4.48341,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8336289445114505,10,29.81,0.54,52.0,11.8,6.5,59.7,42.7,39.6,32.3,34.3,3.1,8.1,37.9
m4,9,7.42146,4.48341,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8300339436493105,11,24.03,0.5366666666666666,42.9,20.9,6.4,44.9,38.8,28.4,9.4,25.3,6.7,8.2,32.4
m1,3,0.0,14.0,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8419323064457044,10,27.98,0.5299999999999999,54.4,10.4,7.3,50.7,56.9,22.7,35.4,20.4,3.2,9.3,37.1
m1,5,3.75,4.71903,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8130295384047284,11,25.56,0.5266666666666667,48.3,9.2,13.3,21.5,73.2,35.4,23.3,9.5,6.7,8.3,32.5
m1,12,11.25,0.0785402,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8695245907430682,10,22.11,0.5166666666666667,39.1,13.7,9.3,26.2,44.6,24.3,5.0,24.6,8.0,7.2,41.2
m1,15,11.25,14.0,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8523977138173601,10,25.05,0.5133333333333333,35.2,52.9,9.0,17.9,58.3,7.5,18.1,40.1,4.6,6.7,25.2
m3,10,7.42146,9.12389,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8479074103184847,10,26.29,0.5133333333333333,55.3,10.6,10.9,27.1,75.8,47.8,3.6,11.6,6.5,6.9,33.0
m5,14,11.1715,9.12389,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.784789052543469,11,26.72,0.5066666666666667,57.6,37.8,12.2,22.9,61.0,17.3,10.8,20.6,7.9,11.6,34.4
m3,0,-0.0785405,-0.157081,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8356261435238903,10,27.74,0.5066666666666667,46.4,33.4,4.5,54.1,43.4,24.1,41.4,9.7,5.7,7.1,35.2
m4,14,11.1715,9.12389,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8419340840971461,9,30.33,0.49833333333333335,58.4,13.1,78.7,13.7,43.1,48.5,4.6,33.9,4.0,7.9,27.7
m5,7,3.67146,13.7644,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6452480540912933,11,28.09,0.49666666666666676,37.2,30.3,19.6,16.7,61.9,30.5,28.2,33.9,5.9,9.8,35.0
m2,3,0.0785405,13.9215,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8465712377542361,10,25.9,0.49333333333333335,57.6,20.9,14.6,33.4,50.6,11.3,6.7,22.1,4.7,13.9,49.1
m2,18,15.0785,9.28097,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7930300487355532,10,37.08,0.49000000000000005,80.1,14.2,31.3,77.9,66.8,39.1,13.0,31.6,3.5,10.3,40.1
m3,2,-0.0785405,9.12389,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6766563445951369,11,27.2,0.49,50.6,11.7,30.3,13.9,62.5,14.5,30.5,25.7,5.7,13.0,40.7
m4,0,-0.0785405,-0.157081,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6746893872913493,11,27.15,0.4833333333333334,63.3,10.3,19.1,33.4,42.0,17.6,28.9,27.3,8.9,9.4,38.5
m4,5,3.67146,4.48341,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8083396960956352,10,30.23,0.47666666666666674,34.7,34.1,6.6,53.8,45.3,24.3,71.4,21.8,3.1,7.0,30.5
m4,17,14.9215,4.48341,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.6096829419800678,10,81.4,0.47333333333333333,75.9,16.9,12.6,114.8,243.3,354.0,16.0,-0.0,6.5,12.2,43.0
m4,3,-0.0785405,13.7644,97ff063e-m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7986727654337827,11,23.68,0.47000000000000003,43.8,8.2,6.3,20.0,53.0,22.5,9.1,27.8,9.1,12.4,48.2
m3,13,11.1715,4.48341,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.854670683263738,10,22.51,0.4666666666666666,45.4,21.0,15.4,22.7,49.5,18.8,1.3,22.0,5.0,8.8,37.7
m5,6,3.67146,9.12389,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.5923414427228045,11,27.07,0.4633333333333334,39.8,14.7,6.7,72.8,39.8,21.2,19.6,38.5,5.0,10.0,29.9
m3,7,3.67146,13.7644,d1f1d91d-m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7965595135596293,11,23.33,0.45999999999999996,44.6,7.3,12.1,30.6,49.4,22.7,11.2,28.2,5.7,9.0,35.8
m1,6,3.75,9.35951,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7951726552598798,11,23.45,0.45999999999999996,35.2,9.7,23.1,22.6,40.7,23.6,18.5,46.0,6.9,6.4,25.3
m5,9,7.42146,4.48341,3b5b3135-m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8095379196280433,10,29.08,0.4566666666666666,41.1,3.8,15.8,17.9,36.7,32.9,89.9,34.5,5.9,9.9,31.5
m1,7,3.75,14.0,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.7724392274447623,10,30.4,0.4366666666666667,33.6,7.8,6.2,73.3,58.8,86.7,10.7,5.6,2.5,9.1,40.2
m1,18,15.0,9.35951,2e8baee0-m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8342395297340999,10,24.63,0.4366666666666667,46.1,9.5,12.9,24.8,65.7,29.1,3.6,12.4,20.3,5.2,41.3
m2,1,0.0785405,4.64049,2eb4956a-m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0.8705341846003983,8,22.96,0.43166666666666664,36.8,13.8,11.0,36.3,52.0,11.6,2.8,56.7,3.2,4.8,23.7
